userID,movieRow,score
1340,54,50
1283,54,50
6,60,60
6,63,60
22,64,60
21,61,60
160,61,50
173,61,50
12,65,60
15,59,60
21,62,60
230,62,50
1350,62,50
14,83,60
1349,83,50
1350,83,50
959,83,50
20,66,60
23,70,60
2,67,60
95,67,50
24,68,60
230,68,50
18,79,60
17,69,60
257,69,50
16,80,60
3,72,60
451,72,50
1276,72,50
1283,72,50
1299,72,50
69,72,50
1325,72,50
1282,72,50
1340,72,50
13,71,60
95,71,50
959,71,50
25,73,60
16,81,60
23,81,50
19,75,60
95,75,50
2,76,60
95,76,50
6,78,60
101,78,50
98,78,50
1,77,60
95,77,50
20,85,60
95,85,50
18,82,60
15,84,60
5,89,60
137,89,50
25,90,60
8,87,60
13,88,60
95,88,50
26,86,60
1,95,60
95,95,50
23,96,60
23,97,60
12,100,60
13,93,60
95,93,50
408,93,50
352,93,5
352,93,50
21,94,60
95,94,50
109,94,50
15,98,60
2,92,60
5,91,60
363,91,50
23,91,50
15,99,60
1292,99,5
2,101,60
19,110,60
19,111,60
21,106,60
103,106,50
282,106,50
316,106,50
26,103,60
174,103,50
25,102,60
3,109,60
1270,109,5
1299,109,50
1340,109,50
20,108,60
98,108,5
25,104,60
1349,104,50
20,114,60
95,114,50
176,114,50
2,116,60
95,116,50
26,107,60
17,105,60
26,113,60
22,117,60
22,119,60
1351,119,50
22,112,60
17,123,60
160,123,50
19,115,60
26,118,60
25,125,60
14,121,60
490,121,50
892,121,50
16,120,60
14,122,60
12,124,60
16,126,60
1,128,60
95,128,50
25,132,60
1349,132,50
18,127,60
27,129,60
27,130,60
27,134,60
28,131,60
29,133,60
30,138,60
31,1575,60
32,1578,60
33,137,60
34,141,60
35,144,60
36,136,60
37,139,60
38,135,60
39,143,60
40,140,60
9,145,60
9,142,60
37,146,60
41,147,60
42,1576,60
42,148,60
43,149,60
44,150,60
45,152,60
46,151,60
44,154,60
47,153,60
44,155,60
29,157,60
95,157,50
48,156,60
44,158,60
10,159,60
190,159,50
288,159,50
49,165,60
50,163,60
2,161,60
44,162,60
44,160,60
51,164,60
11,166,60
50,167,60
52,2080,60
426,2080,50
52,170,60
50,169,60
44,171,60
52,172,60
52,174,60
1240,174,50
52,1579,60
44,173,60
30,168,60
29,176,60
30,179,60
29,175,60
10,181,60
1,178,60
95,178,50
29,177,60
50,180,60
366,180,50
29,189,60
53,184,60
44,182,60
366,182,50
54,185,60
122,185,50
142,185,50
197,185,50
421,185,50
53,183,60
50,188,60
50,186,60
95,186,50
366,186,50
55,190,60
53,187,60
95,187,50
55,192,60
55,197,60
53,1581,60
95,1581,50
30,193,60
11,191,60
95,191,50
366,191,50
30,194,60
30,198,60
55,195,60
95,195,50
230,195,50
56,199,60
52,1580,60
30,196,60
95,196,50
366,196,50
44,201,60
56,200,60
56,202,60
53,203,60
122,203,50
50,205,60
57,209,60
53,204,60
95,204,50
44,207,60
25,206,60
1275,206,50
58,208,60
95,208,50
366,208,50
58,210,60
95,210,50
136,210,50
179,210,50
230,210,50
493,210,50
57,213,60
58,211,60
527,211,50
57,217,60
9,214,60
57,216,60
57,212,60
95,212,50
57,215,60
95,215,50
59,219,60
366,219,50
1259,219,50
58,223,60
57,218,60
95,218,50
95,218,50
59,221,60
230,221,50
59,220,60
95,220,50
57,225,60
57,229,60
59,224,60
95,224,50
366,224,50
59,222,60
95,222,50
288,222,50
9,228,60
58,226,60
95,226,50
100,226,50
230,226,50
52,230,60
58,227,60
527,227,50
52,232,60
52,234,60
52,233,60
57,231,60
517,231,50
52,235,60
52,236,60
52,238,60
9,237,60
60,241,60
60,243,60
60,244,60
10,239,60
517,239,50
61,240,60
95,240,50
61,242,60
95,242,50
60,246,60
61,245,60
190,245,50
273,245,50
288,245,50
60,247,60
60,248,60
1258,248,50
61,251,60
60,1093,60
95,1093,50
366,1093,50
62,249,60
52,252,60
62,250,60
52,253,60
52,256,60
58,255,60
95,255,50
52,258,60
63,294,60
11,254,60
95,254,50
366,254,50
52,257,60
52,259,60
64,261,60
455,261,50
64,260,60
64,262,60
57,266,60
57,267,60
64,263,60
64,264,60
57,265,60
95,265,50
64,269,60
57,268,60
95,268,50
64,270,60
64,271,60
53,272,60
53,274,60
53,273,60
275,273,50
307,273,50
426,273,50
53,276,60
53,275,60
53,278,60
53,279,60
53,282,60
15,283,60
65,284,60
65,285,60
61,280,60
65,287,60
529,287,50
61,277,60
61,281,60
95,281,50
65,288,60
65,286,60
66,289,60
67,290,60
95,290,50
9,291,60
9,292,60
9,293,60
9,306,60
65,307,60
6,309,60
9,308,60
11,310,60
39,312,60
39,311,60
68,1096,60
95,1096,50
288,1096,50
288,1096,50
68,313,60
95,313,50
288,313,50
68,316,60
288,316,50
68,317,60
288,317,50
68,314,60
288,314,50
68,315,60
288,315,50
68,318,60
288,318,50
288,318,50
959,318,50
68,320,60
288,320,50
288,320,50
68,319,60
288,319,50
288,319,50
68,322,60
288,322,50
288,322,50
68,321,60
288,321,50
288,321,50
68,323,60
172,323,50
288,323,50
68,325,60
288,325,50
288,325,50
68,324,60
288,324,50
366,324,50
68,1583,60
288,1583,50
68,326,60
288,326,50
68,328,60
288,328,50
288,328,50
423,328,50
68,327,60
172,327,50
288,327,50
288,327,50
69,886,60
1247,886,50
1245,886,50
1254,886,50
1257,886,50
1297,886,50
1310,886,50
69,886,50
1324,886,50
1325,886,50
1326,886,50
1328,886,50
1332,886,50
1338,886,50
1340,886,50
68,329,60
288,329,50
69,3904,60
1247,3904,50
1245,3904,50
1257,3904,50
1265,3904,50
556,3904,50
1285,3904,50
1310,3904,50
1313,3904,50
1314,3904,50
1317,3904,50
69,3904,50
1323,3904,50
1325,3904,50
1324,3904,50
1326,3904,50
1328,3904,50
1332,3904,50
1338,3904,50
1247,3904,5
1344,3904,50
1296,3904,50
68,330,60
288,330,50
288,330,50
68,331,60
288,331,50
68,333,60
288,333,50
288,333,50
288,333,50
68,332,60
288,332,50
288,332,50
68,334,60
288,334,50
288,334,50
68,338,60
288,338,50
288,338,50
68,336,60
288,336,50
288,336,50
288,336,50
68,339,60
288,339,50
288,339,50
288,339,50
68,340,60
288,340,50
288,340,50
68,341,60
172,341,50
288,341,50
288,341,50
68,342,60
288,342,50
288,342,50
11,337,60
11,1584,60
366,1584,50
57,348,60
68,335,60
159,335,50
288,335,50
288,335,50
288,335,50
10,349,60
68,344,60
172,344,50
